# Ardia et al. (2013), combination of Tabs 5, 6 (Method 6), and read-out from Fig. 8
# Experiment, P (GPa), fCH4 (GPa), a_C, C (ppm wt), S_CH4 (ppm wt), fO2 (IW)
343, 0.7, 1.936, 0.43, 52.40, 66, -3.31
339, 0.7, 1.992, 1.0, 64.89, 83, -3.09
341, 0.7, 2.024, 1.0, 70.55, 100, -3.10
711, 1.5, 22.15, 0.345, 75.68, 99, -2.80
338, 1.5, 26.35, 0.97, 89.52, 118, -1.36
821, 1.5, 23.08, 0.287, 104.44, 137, -1.42
808, 1.5, 23.7, 0.85, 129.09, 173, -1.85
697, 1.5, 22.14, 0.35, 132.17, 173, -3.57
337, 1.5, 23.97, 0.30, 156.87, 208, -2.23
344, 1.5, 26.94, 0.79, 174.86, 231, -2.31
811, 2.0, 92.71, 0.66, 202.19, 268, -1.98
813, 2.0, 86.01, 0.25, 240.21, 319, -3.86
809, 3.0, 880.0, 0.55, 363.43, 480, -4.36
