# Liu et al. (2005), Tab 2a and Tab 2b
# P (MPa), sH2O (wt.%)
0.098, 0.186
0.098, 0.180
0.098, 0.187
0.098, 0.126
0.098, 0.124
0.098, 0.119
0.098, 0.116
0.098, 0.115
0.098, 0.106
0.098, 0.102
0.098, 0.105
0.098, 0.104
0.098, 0.103
0.098, 0.102
0.098, 0.099
0.098, 0.100
0.098, 0.094
0.098, 0.098
11, 1.39
11, 1.37
11, 1.33
24.8, 2.16
24.8, 2.18
6.1, 0.77
6.1, 0.79
6.1, 0.76
11.4, 1.11
11.4, 1.07
11.2, 1.10
11.2, 1.11
11.2, 1.10
11.2, 1.08
25.1, 1.76
25.1, 1.75
25.1, 1.78
6.1, 0.71
6.1, 0.71
6.1, 0.70
6.1, 0.68
11.2, 0.99
11.2, 0.99
25.2, 1.55
25.2, 1.54
25.2, 1.56
25.0, 1.57
25.0, 1.59
25.0, 1.56
6.1, 0.64
6.1, 0.61
11, 0.89
11, 0.92
25, 1.44
25, 1.47
25, 1.48
