# Hirschmann et al. (2012), Tab. 2; basalt+C-O-H: fH2 (=p_H2; bar) and ln(K) (=ln(X_H2/alpha); ln(mole fraction/bar)), P (GPa), T (°C), H2-wt%
5319, -11.94, 0.7, 1400, 0.12
19557, -12.20, 1.5, 1400, 0.36
19557, -12.37, 1.5, 1400, 0.30
19058, -12.84, 1.5, 1450, 0.18
19058, -12.47, 1.5, 1450, 0.26
36491, -12.62, 2.0, 1400, 0.46
3492, -12.10, 0.7, 1400, 0.07
3492, -11.78, 0.7, 1400, 0.09
12533, -12.43, 1.5, 1400, 0.18
23338, -13.19, 2.0, 1400, 0.15
68163, -13.71, 3.0, 1400, 0.28
11148, -12.95, 1.5, 1400, 0.09
