# Paonita et al. (2000), EPSL, Tab. 2+3
# P (MPa), He (mol fraction), T (°C)
119, 0.0195,    1090
119, 0.0156,    1090
119, 0.0123,    119
160, 0.0203,    160
119, 0.0089,    119
119, 0.0103,    119
137, 0.0099,    137
137, 0.0101,    137
137, 0.0114,    137
137, 0.0065,    137
215, 0.0000849, 1140
215, 0.0000583, 1140
215, 0.0000411, 1140
165, 0.0000419, 1130
165, 0.0000293, 1130
112, 0.0000257, 1130
112, 0.00000937, 1130
112, 0.00000764, 1130
215, 0.0000307, 1160
215, 0.0000257, 1160
215, 0.0000198, 1160
165, 0.00000855, 1150
165, 0.0000137, 1150
112, 0.0000382, 1160
112, 0.0000216, 1160
