# Libourel et al. (2003), Table 2
# fN2 (atm), N2 content (10e-9 mol g^-1), N content (ppm wt), log(FO2) (atm)
0.84, 49589, 1389, -17.7
0.84, 45003, 1260, -17.7
0.84, 52594, 1473, -17.7
0.84, 43433, 1216, -17.7
0.84, 48844, 1368, -17.7
0.84, 47803, 1339, -17.7
0.84, 42578, 1192, -17.7
0.84, 39196, 1098, -17.7
0.85, 56396, 1579, -17.7
0.85, 55173, 1545, -17.7
0.85, 50937, 1427, -17.7
0.80, 61581, 1725, -17.4
0.80, 62373, 1747, -17.4
0.80, 60696, 1700, -17.4
0.80, 63089, 1767, -17.4
0.25, 23262, 651.5, -16.4
0.25, 18036, 505.1, -16.4
0.25, 20951, 586.8, -16.4
0.25, 19207, 537.9, -16.4
0.20, 17180, 481.2, -16.2
0.20, 15107, 423.1, -16.2
0.20, 15260, 427.4, -16.2
0.20, 16247, 455.0, -16.2
0.05, 4761, 133.3, -16.1
0.05, 5130, 143.7, -16.1
0.05, 4634, 129.8, -16.1
#0.50, 37.9, 1.062, -13.5
#0.50, 54.2, 1.518, -13.5
#0.50, 69.5, 1.948, -13.5
#0.50, 33.5, 0.939, -13.5
#0.50, 0.84, 0.023, -11.4
#0.50, 6.07, 0.170, -11.4
#0.50, 2.92, 0.082, -11.4
#0.50, 7.02, 0.197, -11.4
0.50, 0.10, 0.003, -9.4
0.50, 1.65, 0.046, -9.4
0.50, 0.76, 0.021, -9.4
0.50, 0.17, 0.005, -7.4
0.50, 0.16, 0.004, -7.4
0.50, 2.62, 0.073, -7.4
0.50, 0.17, 0.005, -7.4
0.50, 4.36, 0.122, -5.9
0.50, 0.32, 0.009, -5.9
0.50, 0.38, 0.011, -5.9
0.50, 0.05, 0.001, -5.9
1.00, 1.07, 0.030, -5.3
1.00, 1.92, 0.054, -5.3
1.00, 4.64, 0.130, -5.3
1.00, 0.88, 0.025, -5.3
0.50, 1.72, 0.048, -5.1
0.50, 0.75, 0.021, -5.1
0.50, 2.88, 0.081, -5.1
0.50, 0.57, 0.016, -5.1
0.78, 1.03, 0.029, -0.7
0.78, 1.92, 0.054, -0.7
0.78, 3.54, 0.099, -0.7
0.78, 0.90, 0.025, -0.7
0.78, 1.29, 0.036, -0.7
