# P CFF_tot CFF_2 CFF_6 CFF_10
4.2590386e-08 4.708233490001148e-08 2.0296043085821792e-22 1.4591040904070803e-21 2.259521042491386e-11
1.7097356e-08 5.5830244220192365e-08 3.463457327444595e-22 2.3145941314363292e-21 3.060394992981941e-11
2.4625072e-08 6.620351722797763e-08 5.522075813903058e-22 3.621198004539686e-21 4.1185412719135783e-11
3.428248e-08 7.850414689337767e-08 8.42125954744787e-22 5.611391731064787e-21 5.5109704993894226e-11
4.6470518e-08 9.309023655396628e-08 1.79069658436742e-21 8.902376246237107e-21 7.415027619694925e-11
6.142533e-08 1.1038642523487396e-07 4.364150385764005e-21 1.4636371249821954e-20 1.0088237190064575e-10
7.827052e-08 1.3089624999578166e-07 8.144053572917717e-21 2.3559102278358974e-20 1.362385482206463e-10
9.5616265e-08 1.5521680520500398e-07 1.3553743693180627e-20 3.731286373665118e-20 1.8280178759599863e-10
1.1129517e-07 1.8405612551027676e-07 2.1145109754355076e-20 5.835356617247844e-20 2.438886870237411e-10
1.2277765e-07 2.182537985697609e-07 3.163454671246167e-20 9.033024900345882e-20 3.2375099823234166e-10
1.289169e-07 2.588054076334997e-07 7.413641136688603e-20 1.4530809109610836e-19 4.3446313213735266e-10
1.2932435e-07 3.0689151556247906e-07 1.6247073171339122e-19 2.37238605005082e-19 5.859726592838399e-10
1.2602052e-07 3.639120340855057e-07 2.890905251005451e-19 3.7987186541883234e-19 7.850798344755106e-10
1.2453407e-07 4.315269788724049e-07 4.668029384796267e-19 5.992252487674752e-19 1.0457561483434574e-09
1.6340329e-07 5.117047969097701e-07 7.588531675106748e-19 9.340972222431099e-19 1.4212265808666302e-09
2.2077843e-07 6.067796731149251e-07 1.1797521831857658e-18 1.4421146415383443e-18 1.921683256966844e-09
3.1369385e-07 7.19519484532754e-07 3.432428965180641e-18 2.3775790899364277e-18 2.650101915691039e-09
4.396266e-07 8.532063804388932e-07 6.931942278039333e-18 3.841159585358406e-18 3.6292435723339622e-09
5.950077e-07 1.0117323342457712e-06 1.2098072323959665e-17 6.101334656208498e-18 4.936975717129144e-09
7.806608e-07 1.1997124489761216e-06 1.9625422515637118e-17 9.51803064613838e-18 6.939396612892779e-09
1.1280563e-06 1.4226193149211385e-06 1.1034511285607564e-16 2.0282672106230927e-17 1.2469467236542187e-08
1.7487096e-06 1.6869423309843234e-06 1.0347716590243484e-15 5.4044010757274574e-17 2.617601069232478e-08
2.6161192e-06 2.000376627969918e-06 8.957707995228392e-15 1.4037375432522067e-16 5.3377394948483925e-08
4.065058e-06 2.3720470938644576e-06 7.345759742670432e-14 3.5576161996200904e-16 1.079036096029995e-07
6.3135208e-06 2.812774023070337e-06 5.677447986567052e-13 8.807560817415726e-16 2.1584128262475133e-07
9.352996e-06 3.335388123331827e-06 4.06725087637172e-12 2.1317413708820537e-15 4.2177850900770864e-07
1.3500613e-05 3.955104051024869e-06 2.7105491462453557e-11 5.047789511142438e-15 8.065326824180374e-07
2.1035454e-05 4.689963349394906e-06 1.740678157169384e-10 1.1705617554359955e-14 1.548250679661578e-06
3.25444e-05 5.5613596848274645e-06 1.0732565947080275e-09 2.66079188169328e-14 2.9814239042025292e-06
