# P CFF_tot CFF_2 CFF_6 CFF_10
2.071686e-10 4.541287149887645e-08 0. 0. 0.
2.8153227e-10 5.3870235371003234e-08 0. 0. 0.
3.76411e-10 6.39026373612839e-08 0. 0. 0.
4.968631e-10 7.58034011473024e-08 0. 0. 0.
6.491221e-10 8.992047688129094e-08 0. 0. 0.
8.4085594e-10 1.0666661442863928e-07 0. 0. 0.
1.0814848e-09 1.2653143119657187e-07 0. 0. 0.
1.3825671e-09 1.5009572738772678e-07 0. 0. 0.
1.7582686e-09 1.7804846722275255e-07 0. 0. 0.
2.2259328e-09 2.1120692262266067e-07 0. 0. 0.
2.8067693e-09 2.5054056830450566e-07 0. 0. 0.
3.5266925e-09 2.971994269264068e-07 0. 0. 0.
4.4173336e-09 3.5254769302683073e-07 0. 0. 0.
5.517267e-09 4.1820361884250007e-07 0. 0. 0.
7.4122055e-09 4.960868281717921e-07 0. 0. 0.
9.828813e-09 5.884744416289566e-07 0. 0. 0.
1.2887532e-08 6.980676542586808e-07 0. 0. 0.
1.6743153e-08 8.280707120827981e-07 0. 0. 0.
2.1585533e-08 9.822845966663487e-07 0. 0. 0.
2.7647127e-08 1.1652181568178604e-06 0. 0. 0.
3.5211986e-08 1.382219936651609e-06 0. 0. 0.
4.4626546e-08 1.6396345543522297e-06 0. 0. 0.
5.631242e-08 1.94498820378645e-06 0. 0. 0.
7.260469e-08 2.307208702589818e-06 0. 0. 0.
9.463906e-08 2.7368865204133925e-06 0. 0. 0.
1.233011e-07 3.2465844191782317e-06 0. 0. 0.
1.5812518e-07 3.85120475848549e-06 0. 0. 0.
2.0854625e-07 4.568425205322545e-06 0. 0. 0.
2.8005854e-07 5.419215587185188e-06 0. 0. 0.
3.701643e-07 6.4284510001773e-06 0. 0. 0.
4.8280884e-07 7.625639097916985e-06 0. 0. 0.
6.2248876e-07 9.045782825454586e-06 0. 0. 0.
7.9418766e-07 1.0730403822499388e-05 0. 0. 0.
1.0032167e-06 1.2728756417841934e-05 0. 0. 0.
1.2549132e-06 1.5099267709294215e-05 0. 0. 0.
1.5541422e-06 1.7911245833674975e-05 0. 0. 0.
1.9133386e-06 2.1246906372609446e-05 0. 0. 0.
2.4393075e-06 2.5203776141450486e-05 0. 0. 0.
3.0376023e-06 2.9897544642417167e-05 0. 0. 0.
3.6925237e-06 3.5465446551688246e-05 0. 0. 0.
4.505848e-06 4.207027413636348e-05 0. 0. 0.
6.2949352e-06 4.9905136914863464e-05 0. 0. 0.
8.354238e-06 5.9199107721967096e-05 0. 0. 0.
1.06541665e-05 7.022392025605872e-05 0. 0. 0.
1.3232785e-05 8.33019139290066e-05 0. 0. 0.
1.6230684e-05 9.881545830727003e-05 0. 0. 0.
1.9888808e-05 0.00011721813269257577 0. 0. 0.
2.4406223e-05 0.00013904798770663016 0. 0. 0.
2.9801648e-05 0.00016494327661719982 0. 0. 0.
3.589633e-05 0.0001956611163522853 0. 0. 0.
4.363743e-05 0.00023209962380625127 0. 0. 0.
5.2268086e-05 0.0002753241746510876 0. 0. 0.
6.0570008e-05 0.0003265985523982609 0. 0. 0.
6.7920024e-05 0.0003874218984359646 0. 0. 0.
7.585547e-05 0.00045957254337336214 0. 0. 0.
8.320401e-05 0.0005451600012165302 0. 0. 0.
9.082647e-05 0.0006466866465626921 0. 0. 0.
0.00010026532 0.0007671208781078483 0. 0. 0.
0.00010648455 0.0009099839075955127 0. 0. 0.
0.0001519807 0.0010794527117099027 0. 0. 0.
0.00021764144 0.0012804821569831538 0. 0. 0.
0.0002881825 0.001518949868359656 0. 0. 0.
0.00033863136 0.0018018280770312775 0. 0. 0.
0.00037417246 0.0021373874719672493 0. 0. 0.
0.00043140387 0.0025354390152747307 0. 0. 0.
0.00051975786 0.003007620791498588 0. 0. 0.
0.000635357 0.003567738277654619 0. 0. 0.
0.0007857602 0.0042321679826862945 0. 0. 0.
0.0015883431 0.005020336257806887 0. 0. 0.
0.0036754068 0.0059552872770075715 0. 0. 0.
0.0023780472 0.007064356794136569 0. 0. 0.
0.002493668 0.00837997137561094 0. 0. 0.
0.0031901975 0.009940596476432887 0. 0. 0.
0.0037365567 0.011791861079008271 0. 0. 0.
0.0038681247 0.013987891776543217 0. 0. 0.
0.0035501614 0.016592895306458348 0. 0. 0.
0.003308601 0.019683035803350166 0. 0. 0.
0.0073628495 0.023348661657930852 0. 0. 0.
0.012471405 0.027696947090028706 0. 0. 0.
0.01326081 0.03285502566898864 0. 0. 0.
0.012934584 0.03897370739818909 0. 0. 0.
0.015577336 0.046231888042424285 0. 0. 0.
0.015803408 0.054841779616443806 0. 0. 0.
0.017443158 0.06505511496174834 0. 0. 0.
0.027907347 0.07717050781877477 0. 0. 0.
0.041395396 0.09154218358555227 0. 0. 0.
0.051050413 0.1085903360295394 0. 0. 0.
0.04961267 0.1288134127583706 0. 0. 0.
0.04794814 0.15280268864758526 0. 0. 0.
0.05426402 0.1812595533178561 0. 0. 0.
0.060027923 0.21501601810661525 0. 0. 0.
0.07810371 0.25505904210936803 0. 0. 0.
0.06915197 0.3025593885265376 0. 0. 0.
0.041202303 0.35890585500709077 0. 0. 0.
0.030674445 0.4257458788031378 0. 0. 0.
0.043674998 0.5050337039340728 0. 0. 0.
0.05976021 0.5990875186540707 0. 0. 0.
0.07227405 0.7106572337871987 0. 0. 0.
0.07678317 0.8430048836081548 0. 0. 0.
0.0689151 1.0 0. 0. 0.
