# P CFF_tot CFF_2 CFF_6 CFF_10
4.470619e-09 6.538977083286893e-08 5.178900636198983e-24 2.1000568329405857e-15 4.376099482783502e-10
5.950929e-09 7.728236843972401e-08 6.893737910451544e-24 2.7954276839560564e-15 5.825112614488148e-10
7.921384e-09 9.133790187028873e-08 9.176376359468201e-24 3.721043265858927e-15 7.753909181396068e-10
1.0544292e-08 1.0794974955475478e-07 1.2214835852412499e-23 4.9531475553303995e-15 1.0321364873888683e-09
1.4035702e-08 1.275828346208698e-07 1.6259399866405717e-23 6.5932299225281155e-15 1.3738962190146253e-09
1.868317e-08 1.5078663690312616e-07 2.164318464020006e-23 8.776370946715455e-15 1.8288180969605605e-09
2.4869461e-08 1.7821057147789685e-07 2.880959784456758e-23 1.1682377511386139e-14 2.4343693727502114e-09
3.3104154e-08 2.1062216413038214e-07 3.834897091615595e-23 1.555062875073076e-14 3.2404317007461714e-09
4.4065516e-08 2.4892853243819906e-07 5.104703456011425e-23 2.069974881335323e-14 4.313397639066352e-09
5.8656237e-08 2.9420177367219936e-07 6.794953750228329e-23 2.755379712099989e-14 5.741630726419089e-09
7.807811e-08 3.47708970056925e-07 9.044872773251316e-23 3.6677349932135936e-14 7.642771748805899e-09
1.0393084e-07 4.109476511611941e-07 1.2039783199922887e-22 4.8821928758883276e-14 1.017341588749332e-08
1.3834345e-07 4.856877059204272e-07 1.602634164046648e-22 6.49877693976661e-14 1.3541972876396358e-08
1.8414988e-07 5.740209173010183e-07 2.1332866323836562e-22 8.650630938574627e-14 1.8025865244908346e-08
2.4512283e-07 6.784195059553065e-07 2.839645813564013e-22 1.1515014473623825e-13 2.399441179079531e-08
3.2628324e-07 8.018053213543158e-07 3.7798864759242955e-22 1.5327854003405195e-13 3.1939162425942413e-08
4.3431325e-07 9.476316168810905e-07 5.03143411824337e-22 2.0403160226872136e-13 4.2514283649097706e-08
5.7810803e-07 1.1199796975603297e-06 6.6973644618410345e-22 2.7158993370218765e-13 5.659067525698447e-08
7.6950573e-07 1.3236731453470756e-06 8.914873418562941e-22 3.615183510625314e-13 7.532744916716183e-08
1.0242585e-06 1.5644128188481198e-06 1.1866537985539317e-21 4.812230800475825e-13 1.0026705865584518e-07
