# P CFF_tot CFF_2 CFF_6 CFF_10
7.589485e-14 4.563363751140451e-08 1.9057659114817512e-43 0. 0.
1.05872396e-13 5.4129463639194646e-08 2.718519020790145e-43 0. 0.
1.4770238e-13 6.420699715499659e-08 3.7414668997472616e-43 0. 0.
2.0607105e-13 7.616071186555503e-08 5.240856256574816e-43 0. 0.
2.8751678e-13 9.033990513316978e-08 7.286752014489049e-43 0. 0.
4.011614e-13 1.0715890463152566e-07 1.0229478789571165e-42 0. 0.
5.597303e-13 1.27109175340635e-07 1.4279231351469886e-42 0. 0.
7.809749e-13 1.507736805572297e-07 1.9884425208769154e-42 0. 0.
1.0896561e-12 1.78843916561122e-07 2.7745709593631378e-42 0. 0.
1.52031e-12 2.1214011870447672e-07 3.8731889553937944e-42 0. 0.
2.1211028e-12 2.5163522936252084e-07 5.407610773829469e-42 0. 0.
2.959206e-12 2.9848332810889605e-07 7.54599223038914e-42 0. 0.
4.1282897e-12 3.540533548687301e-07 1.0525152765543701e-41 0. 0.
5.7589628e-12 4.1996911146765925e-07 1.4684206607659758e-41 0. 0.
8.033289e-12 4.981567104549207e-07 2.04911874438218e-41 0. 0.
1.1205173e-11 5.909008576940971e-07 2.857527828451167e-41 0. 0.
1.5628523e-11 7.009116133450464e-07 3.986554001157672e-41 0. 0.
2.1796656e-11 8.314035820477427e-07 5.560352306440874e-41 0. 0.
3.0397154e-11 9.861898463102453e-07 7.75492583141997e-41 0. 0.
4.2388273e-11 1.169793387911548e-06 1.0814380768580343e-40 0. 0.
5.9105394e-11 1.387579253144214e-06 1.5079793164138654e-40 0. 0.
8.2409225e-11 1.64591132387375e-06 2.1026203197501015e-40 0. 0.
1.1489228e-10 1.9523382753938343e-06 2.9315163873675173e-40 0. 0.
1.5991423e-10 2.315814154918679e-06 4.080314881405646e-40 0. 0.
2.1963693e-10 2.746960026197235e-06 5.604353078220673e-40 0. 0.
2.9431502e-10 3.2583743257197992e-06 7.509964846871349e-40 0. 0.
3.9438453e-10 3.865000999380268e-06 1.0063593077364393e-39 0. 0.
5.2847904e-10 4.584566176849708e-06 1.348545182336845e-39 0. 0.
7.08167e-10 5.4380961436451144e-06 1.8070934801163192e-39 0. 0.
9.489498e-10 6.450531746462633e-06 2.4215544489319656e-39 0. 0.
1.2715989e-09 7.651457185203761e-06 3.244953222673835e-39 0. 0.
1.7039463e-09 9.075964487596123e-06 4.348323021797017e-39 0. 0.
