# Hirschmann et al. (2012), Tab. 2; andesite+ O-H; fH2 (=p_H2; bar) and ln(K) (=ln(X_H2/alpha); ln(mole fraction/bar)), P (GPa), T (C), H2-wt%
9285, -11.44, 1.0, 1400, 0.35
9285, -12.63, 1.0, 1400, 0.11
9285, -11.43, 1.0, 1400, 0.34
19562, -11.62, 1.5, 1400, 0.64
36478, -12.10, 2.0, 1400, 0.80
39066, -13.36, 2.0, 1500, 0.20
63206, -12.58, 2.5, 1400, 0.86
63206, -12.58, 2.5, 1400, 0.86
63206, -12.59, 2.5, 1400, 0.87
63206, -12.55, 2.5, 1400, 0.90
67129, -12.62, 2.5, 1500, 0.93
72269, -12.68, 2.6, 1400, 0.90
104109, -13.08, 3.0, 1400, 0.90
11115, -11.50, 1.5, 1400, 0.40
20365, -11.83, 2.0, 1400, 0.56
34867, -12.24, 2.5, 1400, 0.66
56987, -12.71, 3.0, 1400, 0.67
