# Mosenfelder et al. (2019), Am. Min., Tab. 3 -> N wt% EPMA (Tab 2+3 have similar data)
# P (MPa), N (ppm), fO2 (IW), T (°C)
1200, 3600,  -2, 1400
1200, 830,   -2, 1400
1200, 620,   -2, 1400
1200, 7670,  -2, 1400
1200, 18890, -2, 1400
1200, 1170,  -2, 1400
1200, 890,   -2, 1400
1200, 900,   -2, 1400
1200, 420,   -2, 1400
1200, 1320,  -2, 1400
1200, 2250,  -2, 1400
1200, 1380,  -2, 1400
1200, 47610, -2, 1400
1200, 1190,  -2, 1400
1200, 7810,  -2, 1400
1200, 2630,  -2, 1400
1200, 1420,  -2, 1400
1200, 1720,  -2, 1400
1200, 4290,  -2, 1400
1200, 3760,  -2, 1400
1200, 54180, -2, 1400
1200, 3430,  -2, 1400
1200, 2140,  -2, 1400
1200, 1640,  -2, 1400
1200, 1910,  -2, 1400
1200, 2390,  -2, 1400
1200, 2570,  -2, 1400
1200, 1130,  -2, 1400
