# Dalou et al. (22017019), EPSL, Tab. 3 -> N wt% EPMA (Tab 2+3 have similar data)
# P (MPa), N (ppm), fO2 (IW), T (°C)
1200,   400,    -0.703, 1400
1200,   1800,   -2.014, 1400
1200,   38900,  -3.498, 1400
1200,   35400,  -3.378, 1400
1200,   900,    -1.175, 1400
1200,   900,    -1.329, 1400
1200,   400,    -0.659, 1400
2200,   900,    -0.545, 1400
2200,   2600,   -1.091, 1400
2200,   7900,   -2.123, 1400
2200,   1300,   -0.421, 1400
2200,   2300,   -0.909, 1400
2000,   1400,   -0.701, 1600
2000,   47600,  -3.302, 1600
2000,   1200,   -1.057, 1600
2000,   7800,   -2.053, 1600
2000,   2600,   -1.235, 1600
2000,   1400,   -0.771, 1600
2000,   3400,   -1.265, 1600
2000,   2100,   -1.101, 1600
2000,   1600,   -1.417, 1600
2000,   1900,   -1.838, 1600
2000,   2400,   -1.800, 1600
2000,   2600,   -1.322, 1600
3000,   1700,   -0.441, 1600
3000,   4300,   -1.075, 1600
3000,   12300,  -1.641, 1600
3000,   3800,   -1.132, 1600
3000,   54200,  -2.352, 1600
